,BJD,RV,eRV,eRV_og,residuals
81,7.547091105446585,0.0,1.0,1.0,0.0
82,7.640265069711357,0.0,1.0,1.0,0.0
83,7.733439033976129,0.0,1.0,1.0,0.0
84,7.826612998240902,0.0,1.0,1.0,0.0
85,7.919786962505675,0.0,1.0,1.0,0.0
86,8.012960926770447,0.0,1.0,1.0,0.0
87,8.10613489103522,0.0,1.0,1.0,0.0
88,8.199308855299993,0.0,1.0,1.0,0.0
89,8.292482819564766,0.0,1.0,1.0,0.0
90,8.385656783829539,0.0,1.0,1.0,0.0
91,8.47883074809431,0.0,1.0,1.0,0.0
92,8.572004712359083,0.0,1.0,1.0,0.0
93,8.665178676623857,0.0,1.0,1.0,0.0
94,8.758352640888628,0.0,1.0,1.0,0.0
95,8.851526605153401,0.0,1.0,1.0,0.0
96,8.944700569418174,0.0,1.0,1.0,0.0
97,9.037874533682947,0.0,1.0,1.0,0.0
98,9.13104849794772,0.0,1.0,1.0,0.0
99,9.224222462212492,0.0,1.0,1.0,0.0
100,9.317396426477265,0.0,1.0,1.0,0.0
101,9.410570390742038,0.0,1.0,1.0,0.0
102,9.503744355006809,0.0,1.0,1.0,0.0
103,9.596918319271582,0.0,1.0,1.0,0.0
104,9.690092283536355,0.0,1.0,1.0,0.0
105,9.783266247801128,0.0,1.0,1.0,0.0
106,9.876440212065901,0.0,1.0,1.0,0.0
107,9.969614176330673,0.0,1.0,1.0,0.0
108,10.062788140595446,0.0,1.0,1.0,0.0
109,10.155962104860219,0.0,1.0,1.0,0.0
110,10.24913606912499,0.0,1.0,1.0,0.0
111,10.342310033389763,0.0,1.0,1.0,0.0
112,10.435483997654536,0.0,1.0,1.0,0.0
113,10.52865796191931,0.0,1.0,1.0,0.0
114,10.621831926184083,0.0,1.0,1.0,0.0
115,10.715005890448854,0.0,1.0,1.0,0.0
116,10.808179854713627,0.0,1.0,1.0,0.0
117,10.9013538189784,0.0,1.0,1.0,0.0
118,10.994527783243171,0.0,1.0,1.0,0.0
119,11.087701747507944,0.0,1.0,1.0,0.0
120,11.180875711772718,0.0,1.0,1.0,0.0
121,11.27404967603749,0.0,1.0,1.0,0.0
122,11.367223640302264,0.0,1.0,1.0,0.0
123,11.460397604567035,0.0,1.0,1.0,0.0
124,11.553571568831808,0.0,1.0,1.0,0.0
125,11.646745533096581,0.0,1.0,1.0,0.0
126,11.739919497361353,0.0,1.0,1.0,0.0
127,11.833093461626126,0.0,1.0,1.0,0.0
128,11.926267425890899,0.0,1.0,1.0,0.0
129,12.019441390155672,0.0,1.0,1.0,0.0
130,12.112615354420445,0.0,1.0,1.0,0.0
131,12.205789318685216,0.0,1.0,1.0,0.0
132,12.29896328294999,0.0,1.0,1.0,0.0
133,12.392137247214762,0.0,1.0,1.0,0.0
134,12.485311211479534,0.0,1.0,1.0,0.0
135,12.578485175744307,0.0,1.0,1.0,0.0
136,12.67165914000908,0.0,1.0,1.0,0.0
137,12.764833104273853,0.0,1.0,1.0,0.0
138,12.858007068538626,0.0,1.0,1.0,0.0
139,12.951181032803397,0.0,1.0,1.0,0.0
140,13.04435499706817,0.0,1.0,1.0,0.0
141,13.137528961332944,0.0,1.0,1.0,0.0
142,13.230702925597715,0.0,1.0,1.0,0.0
143,13.323876889862488,0.0,1.0,1.0,0.0
144,13.417050854127261,0.0,1.0,1.0,0.0
145,13.510224818392034,0.0,1.0,1.0,0.0
146,13.603398782656807,0.0,1.0,1.0,0.0
147,13.696572746921579,0.0,1.0,1.0,0.0
148,13.789746711186352,0.0,1.0,1.0,0.0
149,13.882920675451125,0.0,1.0,1.0,0.0
150,13.976094639715896,0.0,1.0,1.0,0.0
151,14.06926860398067,0.0,1.0,1.0,0.0
152,14.162442568245442,0.0,1.0,1.0,0.0
153,14.255616532510215,0.0,1.0,1.0,0.0
154,14.348790496774988,0.0,1.0,1.0,0.0
155,14.44196446103976,0.0,1.0,1.0,0.0
156,14.535138425304533,0.0,1.0,1.0,0.0
157,14.628312389569306,0.0,1.0,1.0,0.0
158,14.721486353834077,0.0,1.0,1.0,0.0
159,14.81466031809885,0.0,1.0,1.0,0.0
160,14.907834282363623,0.0,1.0,1.0,0.0
161,15.001008246628396,0.0,1.0,1.0,0.0
162,15.09418221089317,0.0,1.0,1.0,0.0
163,15.187356175157941,0.0,1.0,1.0,0.0
164,15.280530139422714,0.0,1.0,1.0,0.0
165,15.373704103687487,0.0,1.0,1.0,0.0
166,15.466878067952258,0.0,1.0,1.0,0.0
167,15.560052032217031,0.0,1.0,1.0,0.0
168,15.653225996481805,0.0,1.0,1.0,0.0
169,15.746399960746578,0.0,1.0,1.0,0.0
170,15.83957392501135,0.0,1.0,1.0,0.0
171,15.932747889276122,0.0,1.0,1.0,0.0
172,16.025921853540893,0.0,1.0,1.0,0.0
173,16.11909581780567,0.0,1.0,1.0,0.0
174,16.21226978207044,0.0,1.0,1.0,0.0
175,16.305443746335214,0.0,1.0,1.0,0.0
176,16.398617710599986,0.0,1.0,1.0,0.0
177,16.491791674864757,0.0,1.0,1.0,0.0
178,16.584965639129532,0.0,1.0,1.0,0.0
179,16.678139603394303,0.0,1.0,1.0,0.0
180,16.771313567659078,0.0,1.0,1.0,0.0
181,16.86448753192385,0.0,1.0,1.0,0.0
182,16.95766149618862,0.0,1.0,1.0,0.0
183,17.050835460453396,0.0,1.0,1.0,0.0
184,17.144009424718167,0.0,1.0,1.0,0.0
185,17.23718338898294,0.0,1.0,1.0,0.0
186,17.330357353247713,0.0,1.0,1.0,0.0
