BJD n order chunk rv e_rv norm0 e_norm0 norm1 e_norm1 norm2 e_norm2 wave0 e_wave0 wave1 e_wave1 wave2 e_wave2 ip0 e_ip0 atm0 e_atm0 atm1 e_atm1 bkg0 e_bkg0 prms
2460683.6329224585 1 12 0 436.6933599252367 203.69577480973874 575.7779655106792 153.56802551832624 0.0008506883643306293 0.0015381175267095441 2.2931716556260544e-06 2.786002399715894e-06 16704.628519812548 0.013452704813426617 0.04968766667812067 7.077251077850729e-06 -6.138581617763309e-07 1.6262205442506373e-08 0.9443432902105882 0.1406204402327581 2.424683943169941 1.0159630588319069 0.9948587190215769 0.3339779043050635 -0.066359520384633 0.24915419775374195 14.162274269389673
2460683.6329224585 1 13 0 4075.002945708947 inf 268.14599188505855 inf 0.0005809803580431343 inf 2.1124451410106545e-08 inf 16973.827482796743 inf 0.056379049399882225 inf -5.955728494961057e-07 inf -0.009862884048893128 inf 13.836185910906314 inf 2.653985286757615 inf 1.229958401304986 inf 12.954545819814623
2460683.6329224585 1 14 0 -1024.8182131215224 inf 426.02598238891727 inf 0.0025638665038764095 inf -2.8338393415934226e-06 inf 17094.934921533248 inf 0.05381476086137567 inf -5.5367296507167e-07 inf 0.011045992926868503 inf 6.399965529964677 inf 1.3857991125009033 inf 0.3810567797758164 inf 13.894187769275412
2460683.6329224585 1 15 0 -46.751818707122126 inf 401.47624309558876 inf -0.0018772703350467062 inf -1.5852398593718383e-06 inf 17210.0897110456 inf 0.05114361198527456 inf -6.346172625991831e-07 inf -0.01188884582388855 inf 5.259229552344097 inf 0.9900847498293737 inf 0.28512024623862875 inf 16.384861804916092
2460683.6329224585 1 16 0 25.990847751923734 112.35677212786467 454.13332963081285 8.023475102728028 0.005441765496480366 0.001335354804030454 -1.3851706537358396e-05 2.6104136425364532e-06 17503.44686164859 0.006585499105802947 0.058097166711706075 5.450173148368132e-06 -5.33931565803333e-07 1.1490288888621787e-08 0.28758704594966 0.2975654746730968 3.8610512519030786 0.14289114888581436 -0.37212919257845417 0.6136795442269165 0.03635321167360721 0.018309235686500797 20.268876757259445
2460683.6329224585 1 17 0 -219.71840972884033 103.35937267169295 489.2344472814043 5.746446968847835 0.007099494158212411 0.0013670629259479685 -5.075591072316071e-06 2.6949491904214838e-06 17628.18288491811 0.0057498161347509106 0.055473305719381784 5.309958792014588e-06 -6.317020916042172e-07 9.556970075336685e-09 0.40339017389755916 0.25633011113333115 3.798121920480474 0.10544922001002738 0.7954609454400847 0.6019763265701167 0.038617027035398856 0.012096148802541607 21.428647136790378

2460683.6399224585 2 1 0 56.29045706667657 inf 429.6787859880625 inf -0.0024720380972260633 inf -4.642721544428677e-06 inf 15139.617358957183 inf 0.05045863450834662 inf -4.967487537501781e-07 inf 0.7402340992424623 inf 3.5394475765113054 inf 1.0 inf -0.011175547848920747 inf 17.862199600391754
2460683.6399224585 2 2 0 -61.16099365408818 196.10359229283674 468.7574720734657 369.11404772990494 0.006495037692649977 0.005237368757465017 -4.517431230705941e-06 4.126859160617755e-06 15248.02613568272 0.009915579742997638 0.04823881989334069 7.398756557105879e-06 -4.2520576410452955e-07 1.470877308632868e-08 1.283884867501293 0.21480856500866782 4.426448802528152 3.9514373575801707 0.028320902350787436 2.726783469767581 0.17146373420766997 0.923229131353517 15.122437020750965
2460683.6399224585 2 3 0 -102.02515415313403 224.89373363934953 417.96730096069 583.5761010954471 0.0033942134172799767 0.00482704825294191 -4.74355042040986e-07 2.24033203356994e-06 15351.045183184484 0.011054047291137433 0.04578943348737021 9.221121710959177e-06 -6.374261807304374e-07 1.80438075445148e-08 1.1429336834466874 0.20751964407973053 6.515246487899541 9.964178883880539 1.3824394108252713 2.070108810433625 0.15035238851705798 1.6069737005465747 14.077425650063304
2460683.6399224585 2 4 0 -3216.0861946842815 inf 344.37558762561855 inf -0.0007185415870287554 inf -7.544721645833787e-06 inf 15558.94317300065 inf 0.051158100824212446 inf -3.1304228835032615e-06 inf -1.1648898414090396 inf 45.352997451064006 inf 1.0 inf 0.5164974399868413 inf 12.078745083546293
2460683.6399224585 2 5 0 -240.27262898864444 190.95357429449777 575.7998772168343 92.645456246341 0.0022398455997275184 0.001336412233938721 -2.744012143693286e-06 2.541614529242504e-06 15671.51971681028 0.009812554842297972 0.04949191288326747 9.525358489999565e-06 -5.403732670654183e-07 1.3197989505810214e-08 0.9050699129812023 0.1158765242165735 4.598420586664187 1.923945161826456 1.2030819023772321 0.26491438812944235 0.11799746765750886 0.18014362559175107 10.402781093340833
2460683.6399224585 2 6 0 -84.66679585919339 148.13051039569618 557.6545791898035 70.76406411505265 0.0037689917651437307 0.0014698214163597274 5.525157496564003e-06 2.8180717121277093e-06 15777.325362666274 0.0032861890468434654 0.046994516049627545 4.473238156889094e-06 -5.732817085585566e-07 7.957293633630463e-09 1.0768617630351167 0.09359041787851996 -0.189702408804578 3.6999449415061045 1.155400538201858 0.20447425135179884 0.05462124721830731 0.13425555314871152 10.586808255610675
2460683.6399224585 2 7 0 254.02820008556347 145.8448894232389 499.7908724893352 38.586723839321934 -0.0022591718253188973 0.0012396183167043891 -3.081466847449786e-06 2.342720160491616e-06 16004.687612188685 0.0031190633856362027 0.05327166364504847 7.893505370459184e-06 -5.173624591930626e-07 1.1836460532053118e-08 0.7721837829906444 0.08926298072629764 1.9176022011717537 2.5623774402227704 1.3915109175102323 0.16398525006434242 0.1995422295534801 0.09330312758085817 12.10094741082949
2460683.6399224585 2 8 0 -1.922976304029423 112.11989854160034 571.171502224929 47.267387321340145 -0.002937687310998942 0.0012219359769947205 7.329155379814816e-07 2.357315324879697e-06 16119.144271592872 0.0032087379049417176 0.05086542575818466 6.4722076368178525e-06 -5.642831905398415e-07 8.764954740996694e-09 0.7652299338837998 0.09223058264398307 3.6587622499746724 2.8461420401687394 1.406425999955006 0.17458616557940046 0.20984597566652047 0.10064468931102333 13.104793502653283
2460683.6399224585 2 10 0 245.36676153330097 139.157175295224 712.0562706676546 113.03449552926119 -0.007356436037827586 0.0018713527598237566 -3.853430469419604e-06 2.9600516891597367e-06 16475.164011463155 0.0060415602188728925 0.05479705730314843 6.533207948915433e-06 -5.355732462504048e-07 1.402280977039345e-08 1.199913310094153 0.12495946507801936 4.456962219197132 1.1749349671669471 1.05961140363298 0.2253921503548907 -0.016920420951815136 0.15643215087971918 12.880985896470504
2460683.6399224585 2 11 0 -114.80994647627682 134.8708931468906 593.4503089818093 330.62617143682866 0.0020213343045856562 0.001589649865954531 -8.529867119354206e-06 5.146735626584196e-06 16592.81002416 0.007220394226205374 0.052310940016153974 6.734838788114793e-06 -6.065053091930363e-07 1.5249950103959194e-08 0.4508772884357063 0.16923620006108692 4.470694753740604 2.6523308300085655 1.1809541432215518 0.8033587790500198 0.24630384107504508 0.6946772821538857 14.094607611413826
2460683.6399224585 2 12 0 786.983333900471 168.88521414400137 573.017226538659 82.28367468315172 0.0011150614604910603 0.0012453086268554318 4.272646751785627e-06 2.2890232910639437e-06 16704.783266851387 0.011300074222742722 0.049686782545228944 5.921271675857102e-06 -6.561160414765693e-07 1.3950020903458678e-08 0.9852533738716466 0.12620754231766362 3.4576696605090476 1.0374900783769077 1.5251748522252275 0.3045180511063559 0.3075443257860246 0.18793051246407572 13.91604677845888
2460683.6399224585 2 13 0 3630.5413283110965 172.7543498217613 260.4155696225898 22.59852151460281 -0.00047101029360042284 0.0005178496602120487 3.6243668090477466e-06 1.0556822749687543e-06 16973.932847856977 0.008503488507585852 0.05636209901593764 9.548569610604927e-06 -6.55691195304655e-07 1.8271622709044836e-08 1.132173161532612 0.18798382412761486 19.19294333404152 2.855396019877681 6.062986416389154 0.762302729005195 1.7728373313183339 0.24104584962273976 13.306522314038974
2460683.6399224585 2 14 0 -807.0570117848847 109.48720326857912 578.8679417147398 32.56744984154513 -0.0026413090741938946 0.0010878451701352612 -7.631039797609026e-06 2.14952577474939e-06 17095.076156084106 0.005890516945074218 0.053825212963795444 6.278985406776176e-06 -5.605074742020696e-07 1.0991495488001364e-08 0.9529736620289646 0.14519514931598432 5.971090354922768 0.5149902154966807 1.5491358404927222 0.16118049088642272 0.2922039635368298 0.07277506208600508 13.604460617650178
2460683.6399224585 2 15 0 124.57162794174143 98.14407710024562 716.3456502864925 53.88932712835973 0.016534303818258718 0.0018710415145253055 6.354475266739447e-06 2.7763537339600856e-06 17210.334950120658 0.004813032654421489 0.051163559779599285 4.904211967037485e-06 -6.263355800031553e-07 9.141299960732868e-09 0.9735519485324493 0.1429303144752849 3.7416831749861124 0.39999198289588345 1.2693076504212761 0.17370257452436952 0.03766901549320162 0.07811981285301053 15.913375550700334
2460683.6399224585 2 16 0 250.57191050550065 88.04895496026856 577.7971609105034 7.970225284410502 -0.0007254607657308615 0.0013023971709524404 7.548119932274739e-06 2.533182608011775e-06 17503.63147994435 0.005103863929245169 0.05811578780632148 4.246310527208317e-06 -5.19473332583621e-07 9.26069133847576e-09 0.591588826494445 0.1876815629769082 3.8826067752546063 0.11153033882421494 1.433837934030987 0.4867200908080207 0.03492998374167381 0.014263469254515427 20.084230032462944
2460683.6399224585 2 17 0 -188.78877442436936 81.26261519896565 581.6174263412738 5.413438279904136 0.004861021948029545 0.001273662354999871 -1.0089959686445931e-06 2.522748435747162e-06 17628.400769144384 0.004466723294376189 0.055514377434987605 4.246446709433276e-06 -6.100985042750762e-07 7.588994385288774e-09 0.7339956474164189 0.16681555688874483 3.7000710676362085 0.08029051448400613 1.2390317853983677 0.4761838370411159 0.006715397717118995 0.009280506263901547 21.40542772869007

